,img,categories,Date,ID,gender,handedness,age,Time,onset,offset,duration_measured,response,emotion_judge,key_t,rt,duration_frames,delay_frames,no
0,images_type2_emotion\type2_17.jpg,tp2,2021_Nov_18_1024,Cuppie,female,left,20,,1.1024226999998064,2.8799111999996967,1.7774884999998903,e,1,2.879740899999888,1.7773182000000816,3,60,1
1,images_neutral\neutral_29.jpg,N,2021_Nov_18_1024,Cuppie,female,left,20,,4.425221299999976,5.266075800000181,0.840854500000205,w,0,5.265843899999709,0.8406225999997332,3,60,2
2,images_type2_emotion\type2_5.jpg,tp2,2021_Nov_18_1024,Cuppie,female,left,20,,6.738194900000053,7.9876500999998825,1.2494551999998293,w,0,7.987481099999968,1.249286199999915,3,60,3
3,images_neutral\neutral_35.jpg,N,2021_Nov_18_1024,Cuppie,female,left,20,,9.67836299999999,10.686826099999962,1.0084630999999717,w,0,10.686669699999584,1.0083066999995935,3,60,4
4,images_type2_emotion\type2_20.jpg,tp2,2021_Nov_18_1024,Cuppie,female,left,20,,12.17311830000017,13.08671669999967,0.9135983999995005,e,1,13.086558399999376,0.9134400999992067,3,60,5
5,images_type2_emotion\type2_13.jpg,tp2,2021_Nov_18_1024,Cuppie,female,left,20,,14.605627799999638,15.49556179999945,0.8899339999998119,e,1,15.49525039999935,0.8896225999997114,3,60,6
6,images_neutral\neutral_27.jpg,N,2021_Nov_18_1024,Cuppie,female,left,20,,17.04645309999978,17.87607459999981,0.8296215000000302,w,0,17.875898599999346,0.8294454999995651,3,60,7
7,images_type2_emotion\type2_14.jpg,tp2,2021_Nov_18_1024,Cuppie,female,left,20,,19.32197720000022,20.168222100000094,0.8462448999998742,e,1,20.1677523999997,0.8457751999994798,3,60,8
8,images_type2_emotion\type2_10.jpg,tp2,2021_Nov_18_1024,Cuppie,female,left,20,,21.627628299999742,22.369066700000076,0.7414384000003338,e,1,22.36883619999935,0.7412078999996083,3,60,9
9,images_type2_emotion\type2_18.jpg,tp2,2021_Nov_18_1024,Cuppie,female,left,20,,24.094349999999395,24.776145400000132,0.6817954000007376,e,1,24.775968199999625,0.68161820000023,3,60,10
10,images_neutral\neutral_24.jpg,N,2021_Nov_18_1024,Cuppie,female,left,20,,26.496249899999384,27.290762099999483,0.7945122000000993,w,0,27.290448199999446,0.7941983000000619,3,60,11
11,images_type1_emotion\type1_10.jpg,tp1,2021_Nov_18_1024,Cuppie,female,left,20,,28.776567299999442,29.398662200000217,0.6220949000007749,e,1,29.39846260000013,0.6218953000006877,3,60,12
12,images_neutral\neutral_3.jpg,N,2021_Nov_18_1024,Cuppie,female,left,20,,31.193186200000127,31.9215592999999,0.7283730999997715,w,0,31.92123790000005,0.7280516999999236,3,60,13
13,images_type1_emotion\type1_15.jpg,tp1,2021_Nov_18_1024,Cuppie,female,left,20,,33.74109959999987,34.2524856,0.5113860000001296,e,1,34.252113099999406,0.5110134999995353,3,60,14
14,images_neutral\neutral_11.jpg,N,2021_Nov_18_1024,Cuppie,female,left,20,,35.79645749999963,36.34507409999969,0.5486166000000594,w,0,36.34474659999978,0.5482891000001473,3,60,15
15,images_neutral\neutral_4.jpg,N,2021_Nov_18_1024,Cuppie,female,left,20,,38.03788809999969,38.853134500000124,0.8152464000004329,w,0,38.852977599999576,0.8150894999998854,3,60,16
16,images_neutral\neutral_9.jpg,N,2021_Nov_18_1024,Cuppie,female,left,20,,40.395688900000096,41.06121449999955,0.6655255999994552,w,0,41.060848899999655,0.6651599999995597,3,60,17
17,images_neutral\neutral_10.jpg,N,2021_Nov_18_1024,Cuppie,female,left,20,,42.64405929999975,43.68868979999934,1.0446304999995846,w,0,43.68855729999996,1.0444980000002033,3,60,18
18,images_neutral\neutral_20.jpg,N,2021_Nov_18_1024,Cuppie,female,left,20,,45.18797279999944,45.78322169999956,0.5952489000001151,w,0,45.78297620000012,0.5950034000006781,3,60,19
19,images_neutral\neutral_19.jpg,N,2021_Nov_18_1024,Cuppie,female,left,20,,47.3108787000001,48.73471289999998,1.4238341999998738,w,0,48.73452889999953,1.4236501999994289,3,60,20
20,images_type2_emotion\type2_3.jpg,tp2,2021_Nov_18_1024,Cuppie,female,left,20,,50.22606319999977,51.08891499999936,0.8628517999995893,e,1,51.08857939999962,0.8625161999998454,3,60,21
21,images_neutral\neutral_31.jpg,N,2021_Nov_18_1024,Cuppie,female,left,20,,52.64419329999964,53.514815099999396,0.8706217999997534,e,1,53.51434979999976,0.870156500000121,3,60,22
22,images_type2_emotion\type2_19.jpg,tp2,2021_Nov_18_1024,Cuppie,female,left,20,,55.01294909999979,55.652718399999685,0.6397692999998981,e,1,55.652196,0.6392469000002166,3,60,23
23,images_type1_emotion\type1_17.jpg,tp1,2021_Nov_18_1024,Cuppie,female,left,20,,57.409522099999776,58.01772379999966,0.6082016999998814,e,1,58.01750230000016,0.6079802000003838,3,60,24
