,img,categories,Date,ID,gender,handedness,age,Time,onset,offset,duration_measured,response,emotion_judge,key_t,rt,duration_frames,delay_frames,no
0,images_type2_emotion\type2_7.png,tp2,2021_Nov_18_0822,hi,female,left,21,,1.0564564999949653,2.705465200007893,1.6490087000129279,e,1,2.7053296999947634,1.648873199999798,3,60,1
1,images_neutral\neutral_38.jpg,N,2021_Nov_18_0822,hi,female,left,21,,4.196084099996369,5.375162799988175,1.1790786999918055,w,0,5.375028000009479,1.1789439000131097,3,60,2
2,images_type2_emotion\type2_1.jpg,tp2,2021_Nov_18_0822,hi,female,left,21,,6.793171400000574,7.910456899990095,1.1172854999895208,e,1,7.910332700004801,1.117161300004227,3,60,3
3,images_neutral\neutral_34.png,N,2021_Nov_18_0822,hi,female,left,21,,9.400070500007132,10.325777499994729,0.9257069999875966,w,0,10.325355499982834,0.9252849999757018,3,60,4
4,images_type1_emotion\type1_3.jpg,tp1,2021_Nov_18_0822,hi,female,left,21,,11.722252100007609,12.434558100008871,0.7123060000012629,e,1,12.434425299987197,0.7121731999795884,3,60,5
5,images_neutral\neutral_17.jpg,N,2021_Nov_18_0822,hi,female,left,21,,13.839818399981596,14.553409399988595,0.7135910000069998,w,0,14.553269600000931,0.7134512000193354,3,60,6
6,images_type1_emotion\type1_6.jpg,tp1,2021_Nov_18_0822,hi,female,left,21,,15.926728799997363,16.592767299996922,0.6660384999995586,e,1,16.59250780000002,0.665779000002658,3,60,7
7,images_neutral\neutral_6.jpg,N,2021_Nov_18_0822,hi,female,left,21,,18.071297399990726,19.006490500003565,0.9351931000128388,w,0,19.006366799992975,0.9350694000022486,3,60,8
8,images_neutral\neutral_39.jpg,N,2021_Nov_18_0822,hi,female,left,21,,20.422398099995917,21.22954450000543,0.8071464000095148,w,0,21.229107699997257,0.8067096000013407,3,60,9
9,images_type1_emotion\type1_7.jpg,tp1,2021_Nov_18_0822,hi,female,left,21,,22.654018400004134,23.319473099982133,0.6654546999779996,e,1,23.319329399993876,0.6653109999897424,3,60,10
10,images_type2_emotion\type2_6.jpg,tp2,2021_Nov_18_0822,hi,female,left,21,,24.78739489999134,25.48029179999139,0.6928969000000507,w,0,25.480132099997718,0.692737200006377,3,60,11
11,images_type1_emotion\type1_18.jpg,tp1,2021_Nov_18_0822,hi,female,left,21,,27.0052836999821,27.650520900002448,0.6452372000203468,e,1,27.650227600010112,0.6449439000280108,3,60,12
12,images_type1_emotion\type1_5.jpg,tp1,2021_Nov_18_0822,hi,female,left,21,,29.200427900010254,29.71885609999299,0.5184281999827363,e,1,29.718645799992373,0.518217899982119,3,60,13
13,images_type2_emotion\type2_18.jpg,tp2,2021_Nov_18_0822,hi,female,left,21,,31.19429339998169,31.889953799982322,0.6956604000006337,e,1,31.889533899986418,0.6952405000047293,3,60,14
14,images_type1_emotion\type1_20.jpg,tp1,2021_Nov_18_0822,hi,female,left,21,,33.27000439999392,33.82585789999575,0.555853500001831,e,1,33.82571969999117,0.5557152999972459,3,60,15
15,images_type2_emotion\type2_20.jpg,tp2,2021_Nov_18_0822,hi,female,left,21,,35.26722619999782,36.25209629998426,0.9848700999864377,e,1,36.25159379999968,0.9843676000018604,3,60,16
16,images_type1_emotion\type1_17.jpg,tp1,2021_Nov_18_0822,hi,female,left,21,,37.6829621999932,38.82714459998533,1.1441823999921326,e,1,38.826691800000845,1.1437296000076458,3,60,17
17,images_neutral\neutral_29.jpg,N,2021_Nov_18_0822,hi,female,left,21,,40.2782775000087,41.20243430000846,0.9241567999997642,w,0,41.202081700001145,0.9238041999924462,3,60,18
18,images_neutral\neutral_25.jpg,N,2021_Nov_18_0822,hi,female,left,21,,42.617033799993806,44.13406710000709,1.5170333000132814,w,0,44.133645199995954,1.516611400002148,3,60,19
