,img,categories,Date,ID,gender,handedness,age,Time,onset,offset,duration_measured,response,emotion_judge,key_t,rt,duration_frames,delay_frames,no
0,images_type2_emotion\type2_2.jpg,tp2,2021_Nov_18_1033,numbers,male,right,21,,1.0118926000141073,1.6005839999997988,0.5886913999856915,r,0,1.6003578000236303,0.588465200009523,3,60,1
1,images_type1_emotion\type1_17.jpg,tp1,2021_Nov_18_1033,numbers,male,right,21,,3.076251799997408,3.528921300021466,0.4526695000240579,e,1,3.528741100017214,0.45248930001980625,3,60,2
2,images_type1_emotion\type1_14.jpg,tp1,2021_Nov_18_1033,numbers,male,right,21,,4.984815300005721,5.661861800006591,0.6770465000008699,e,1,5.661691100016469,0.6768758000107482,3,60,3
3,images_neutral\neutral_35.jpg,N,2021_Nov_18_1033,numbers,male,right,21,,7.143041900009848,7.958282500010682,0.8152406000008341,e,1,7.958076100010658,0.8150342000008095,3,60,4
4,images_neutral\neutral_21.jpg,N,2021_Nov_18_1033,numbers,male,right,21,,9.451092600007541,10.40172990001156,0.9506373000040185,e,1,10.401516100013396,0.9504235000058543,3,60,5
5,images_neutral\neutral_7.jpg,N,2021_Nov_18_1033,numbers,male,right,21,,11.854785100003937,12.481738800008316,0.6269537000043783,r,0,12.481527800002368,0.6267426999984309,3,60,6
6,images_type1_emotion\type1_10.jpg,tp1,2021_Nov_18_1033,numbers,male,right,21,,13.932032700016862,14.732064000010723,0.8000312999938615,r,0,14.731852500000969,0.7998197999841068,3,60,7
7,images_neutral\neutral_11.jpg,N,2021_Nov_18_1033,numbers,male,right,21,,16.185819400008768,16.84521160001168,0.6593922000029124,r,0,16.844999100023415,0.6591797000146471,3,60,8
8,images_neutral\neutral_3.jpg,N,2021_Nov_18_1033,numbers,male,right,21,,18.30324730000575,18.815873300016392,0.5126260000106413,r,0,18.815697200014256,0.5124499000085052,3,60,9
9,images_neutral\neutral_6.jpg,N,2021_Nov_18_1033,numbers,male,right,21,,20.302432900003623,20.896751300024334,0.5943184000207111,r,0,20.89652660000138,0.5940936999977566,3,60,10
10,images_type2_emotion\type2_1.jpg,tp2,2021_Nov_18_1033,numbers,male,right,21,,22.36044660001062,22.884025900013512,0.5235793000028934,e,1,22.883815500012133,0.5233689000015147,3,60,11
