,ID,Age,Gender,Word,Color,Emotional,Valence,Sentiment,Correct,Reaction_time
0,Kat,24,Female,crime,red,emotional,negative,-3.17,1,0.7515949660009937
1,Kat,24,Female,pain,yellow,emotional,negative,-3.27,1,0.898208272003103
2,Kat,24,Female,angry,green,emotional,negative,-3.05,1,1.0751596189948032
3,Kat,24,Female,stone,green,neutral,neutral,-0.33,1,0.6336719329992775
4,Kat,24,Female,stone,blue,neutral,neutral,-0.33,1,0.4711698559985962
5,Kat,24,Female,stone,green,neutral,neutral,-0.33,1,0.7209944969945354
6,Kat,24,Female,angry,blue,emotional,negative,-3.05,1,0.4993581619928591
7,Kat,24,Female,stone,yellow,neutral,neutral,-0.33,1,0.7063740070007043
8,Kat,24,Female,speak,red,neutral,neutral,0.52,1,0.5974239980132552
9,Kat,24,Female,speak,green,neutral,neutral,0.52,1,0.928671565008699
10,Kat,24,Female,distress,blue,emotional,negative,-2.67,1,0.6063744900020538
11,Kat,24,Female,party,green,emotional,positive,2.2,1,0.6232487899978878
12,Kat,24,Female,window,yellow,neutral,neutral,0.72,1,0.7448280280077597
13,Kat,24,Female,chair,yellow,neutral,neutral,0.06,1,0.7497209760040278
14,Kat,24,Female,good,red,emotional,positive,1.82,1,0.639195039999322
15,Kat,24,Female,distress,yellow,emotional,negative,-2.67,1,0.7194872520049103
16,Kat,24,Female,truck,green,neutral,neutral,0.1,1,0.7530500480061164
17,Kat,24,Female,angry,green,emotional,negative,-3.05,1,0.4420224019995658
18,Kat,24,Female,gift,red,emotional,positive,2.34,1,0.6500538230029633
19,Kat,24,Female,distress,blue,emotional,negative,-2.67,1,0.5524917680013459
20,Kat,24,Female,pain,blue,emotional,negative,-3.27,1,0.46165157000359613
21,Kat,24,Female,sad,green,emotional,negative,-2.99,1,0.41778737101412844
22,Kat,24,Female,window,green,neutral,neutral,0.72,1,0.6776847830042243
23,Kat,24,Female,chair,green,neutral,neutral,0.06,1,0.5572275769955013
24,Kat,24,Female,good,yellow,emotional,positive,1.82,1,0.4025165119965095
25,Kat,24,Female,party,blue,emotional,positive,2.2,1,0.5551559049927164
26,Kat,24,Female,gift,blue,emotional,positive,2.34,1,0.6042024659982417
27,Kat,24,Female,sad,blue,emotional,negative,-2.99,1,0.5032175980013562
28,Kat,24,Female,angry,green,emotional,negative,-3.05,1,0.9929944350005826
29,Kat,24,Female,friend,green,emotional,positive,2.28,1,0.5739729279885069
