,ID,Age,Gender,Word,Color,Emotional,Valence,Sentiment,Correct,Reaction_time
0,natsværmer,23,Female,friend,blue,emotional,positive,2.28,1,1.3700280003249645
1,natsværmer,23,Female,friend,red,emotional,positive,2.28,1,0.9837147002108395
2,natsværmer,23,Female,good,red,emotional,positive,1.82,0,1.4881968996487558
3,natsværmer,23,Female,angry,green,emotional,negative,-3.05,1,1.4423207002691925
4,natsværmer,23,Female,truck,green,neutral,neutral,0.1,1,0.7464972003363073
5,natsværmer,23,Female,window,yellow,neutral,neutral,0.72,1,1.399906899780035
6,natsværmer,23,Female,sad,green,emotional,negative,-2.99,1,0.9756632000207901
7,natsværmer,23,Female,sad,red,emotional,negative,-2.99,1,0.835967100225389
8,natsværmer,23,Female,truck,green,neutral,neutral,0.1,1,0.7714205998927355
9,natsværmer,23,Female,sad,red,emotional,negative,-2.99,1,0.9282341999933124
10,natsværmer,23,Female,party,blue,emotional,positive,2.2,1,0.7998434999026358
11,natsværmer,23,Female,happy,blue,emotional,positive,2.92,1,0.6309613999910653
12,natsværmer,23,Female,stone,yellow,neutral,neutral,-0.33,1,0.8235936001874506
13,natsværmer,23,Female,happy,red,emotional,positive,2.92,1,0.7614489998668432
14,natsværmer,23,Female,crime,red,emotional,negative,-3.17,1,0.5687971999868751
15,natsværmer,23,Female,friend,yellow,emotional,positive,2.28,1,0.6445130999200046
16,natsværmer,23,Female,stone,green,neutral,neutral,-0.33,1,1.0981287998147309
17,natsværmer,23,Female,party,blue,emotional,positive,2.2,1,0.6215564999729395
18,natsværmer,23,Female,good,yellow,emotional,positive,1.82,1,0.6784453000873327
19,natsværmer,23,Female,window,blue,neutral,neutral,0.72,1,0.741268000099808
20,natsværmer,23,Female,pain,blue,emotional,negative,-3.27,1,0.36935049993917346
21,natsværmer,23,Female,friend,blue,emotional,positive,2.28,1,0.3344349996186793
22,natsværmer,23,Female,speak,red,neutral,neutral,0.52,1,0.6639647004194558
23,natsværmer,23,Female,crime,red,emotional,negative,-3.17,1,0.28295790031552315
24,natsværmer,23,Female,gift,green,emotional,positive,2.34,1,0.5341944000683725
25,natsværmer,23,Female,crime,red,emotional,negative,-3.17,1,0.45521970000118017
26,natsværmer,23,Female,gift,yellow,emotional,positive,2.34,1,0.5238056997768581
27,natsværmer,23,Female,chair,red,neutral,neutral,0.06,1,0.5464620003476739
28,natsværmer,23,Female,crime,yellow,emotional,negative,-3.17,1,0.40132270008325577
29,natsværmer,23,Female,good,green,emotional,positive,1.82,1,0.5458963001146913
30,natsværmer,23,Female,distress,green,emotional,negative,-2.67,1,0.4000274003483355
31,natsværmer,23,Female,speak,yellow,neutral,neutral,0.52,1,0.5681583997793496
32,natsværmer,23,Female,sad,yellow,emotional,negative,-2.99,1,0.38793860003352165
33,natsværmer,23,Female,speak,blue,neutral,neutral,0.52,1,0.6271607000380754
34,natsværmer,23,Female,gift,green,emotional,positive,2.34,1,0.5353367002680898
35,natsværmer,23,Female,good,green,emotional,positive,1.82,1,0.457736199721694
36,natsværmer,23,Female,speak,blue,neutral,neutral,0.52,1,0.54065450001508
37,natsværmer,23,Female,distress,red,emotional,negative,-2.67,1,0.5218867002986372
38,natsværmer,23,Female,good,blue,emotional,positive,1.82,1,0.6772624999284744
39,natsværmer,23,Female,pain,yellow,emotional,negative,-3.27,1,0.5926169999875128
40,natsværmer,23,Female,window,blue,neutral,neutral,0.72,1,0.474710900336504
41,natsværmer,23,Female,crime,blue,emotional,negative,-3.17,1,0.3514984999783337
42,natsværmer,23,Female,party,green,emotional,positive,2.2,1,0.5422221999615431
43,natsværmer,23,Female,stone,red,neutral,neutral,-0.33,1,0.4914711997844279
44,natsværmer,23,Female,friend,yellow,emotional,positive,2.28,1,0.4237489001825452
45,natsværmer,23,Female,stone,red,neutral,neutral,-0.33,1,0.620155300013721
46,natsværmer,23,Female,angry,green,emotional,negative,-3.05,1,0.5229680999182165
47,natsværmer,23,Female,chair,red,neutral,neutral,0.06,1,0.5329438000917435
48,natsværmer,23,Female,gift,red,emotional,positive,2.34,1,0.48304420011118054
49,natsværmer,23,Female,truck,yellow,neutral,neutral,0.1,1,0.5224913000129163
50,natsværmer,23,Female,crime,yellow,emotional,negative,-3.17,1,0.3829820998944342
51,natsværmer,23,Female,pain,yellow,emotional,negative,-3.27,1,0.29009410040453076
52,natsværmer,23,Female,pain,green,emotional,negative,-3.27,0,0.292703399900347
53,natsværmer,23,Female,window,green,neutral,neutral,0.72,1,0.5175008000805974
54,natsværmer,23,Female,window,blue,neutral,neutral,0.72,1,0.45846170000731945
55,natsværmer,23,Female,stone,green,neutral,neutral,-0.33,1,0.8764670002274215
56,natsværmer,23,Female,gift,green,emotional,positive,2.34,1,0.42818630021065474
57,natsværmer,23,Female,good,green,emotional,positive,1.82,1,0.44871379993855953
58,natsværmer,23,Female,sad,blue,emotional,negative,-2.99,1,0.7792294002138078
59,natsværmer,23,Female,window,yellow,neutral,neutral,0.72,1,0.5562427998520434
60,natsværmer,23,Female,truck,blue,neutral,neutral,0.1,1,0.605423899833113
61,natsværmer,23,Female,party,green,emotional,positive,2.2,1,0.48033410031348467
62,natsværmer,23,Female,angry,blue,emotional,negative,-3.05,1,0.6548438998870552
63,natsværmer,23,Female,happy,yellow,emotional,positive,2.92,1,0.5211821999400854
64,natsværmer,23,Female,distress,red,emotional,negative,-2.67,1,0.5454043000936508
65,natsværmer,23,Female,pain,red,emotional,negative,-3.27,1,0.5929081998765469
66,natsværmer,23,Female,speak,blue,neutral,neutral,0.52,1,0.6374162998981774
67,natsværmer,23,Female,party,blue,emotional,positive,2.2,1,0.3832996003329754
68,natsværmer,23,Female,happy,yellow,emotional,positive,2.92,1,0.5124642001464963
